"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_GENERO";"DS_GENERO";"CD_ESTADO_CIVIL";"DS_ESTADO_CIVIL";"CD_FAIXA_ETARIA";"DS_FAIXA_ETARIA";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"TP_CONVOCACAO";"TP_COMPARECIMENTO";"QT_MESARIOS_PERFIL"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"2";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Ausências";"3"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"6"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6076";"MAZAGÃO";"5";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6106";"SERRA DO NAVIO";"11";"4";"FEMININO";"3";"CASADO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"8"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6041";"ITAUBAL";"10";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"10";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"26"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"10";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"18"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"10";"2";"MASCULINO";"3";"CASADO";"5559";"55 a 59 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6068";"CUTIAS";"10";"2";"MASCULINO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"10"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6033";"CALÇOENE";"1";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6033";"CALÇOENE";"1";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6157";"SANTANA";"6";"4";"FEMININO";"9";"DIVORCIADO";"5559";"55 a 59 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"10";"4";"FEMININO";"1";"SOLTEIRO";"5054";"50 a 54 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"11"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6173";"TARTARUGALZINHO";"8";"2";"MASCULINO";"3";"CASADO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6173";"TARTARUGALZINHO";"8";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6025";"PORTO GRANDE";"12";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6025";"PORTO GRANDE";"12";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"2";"MASCULINO";"3";"CASADO";"5054";"50 a 54 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"7"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6076";"MAZAGÃO";"5";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6157";"SANTANA";"6";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"14"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6157";"SANTANA";"6";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6130";"LARANJAL DO JARI";"7";"2";"MASCULINO";"3";"CASADO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6033";"CALÇOENE";"1";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6157";"SANTANA";"6";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"8"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6157";"SANTANA";"6";"4";"FEMININO";"1";"SOLTEIRO";"1800";"18 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6076";"MAZAGÃO";"5";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"6"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"13"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6092";"OIAPOQUE";"4";"2";"MASCULINO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6092";"OIAPOQUE";"4";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6130";"LARANJAL DO JARI";"7";"2";"MASCULINO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6084";"PEDRA BRANCA DO AMAPARI";"11";"4";"FEMININO";"1";"SOLTEIRO";"5054";"50 a 54 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6025";"PORTO GRANDE";"12";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6076";"MAZAGÃO";"5";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6076";"MAZAGÃO";"5";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6076";"MAZAGÃO";"5";"4";"FEMININO";"1";"SOLTEIRO";"1900";"19 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"2";"MASCULINO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"23"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"9";"DIVORCIADO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Ausências";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"10";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"10";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"10";"2";"MASCULINO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"10";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"7"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6068";"CUTIAS";"10";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"2";"2";"MASCULINO";"3";"CASADO";"3034";"30 a 34 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"10"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6033";"CALÇOENE";"1";"4";"FEMININO";"1";"SOLTEIRO";"1800";"18 anos";"4";"ENSINO FUNDAMENTAL COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Ausências";"3"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"3";"CASADO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6033";"CALÇOENE";"1";"4";"FEMININO";"3";"CASADO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6050";"MACAPÁ";"2";"4";"FEMININO";"1";"SOLTEIRO";"1900";"19 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"1";"AP";"6050";"MACAPÁ";"2";"2";"MASCULINO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Ausências";"1"
"20/10/2024";"05:39:17";"2022";"2";"AP";"6041";"ITAUBAL";"10";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
